model,rmse,mae,r2
CatBoost,27783.45478060638,5950.492361293206,0.20001433606515154
LightGBM,27883.33554275585,5815.89089570233,0.19254122604399643
XGBoost,28139.267045961344,5884.71064453125,0.17700226306915284
LinearRegression,30921.90302614941,7475.566601163182,0.007297833963703137
