Model,RMSE,MAE,R2
LinearRegression,30922.609148772695,7473.345447300102,0.0072506595049127934
XGBoost,27194.187832517888,5845.00146484375,0.23098180294036866
LightGBM,27241.77822846048,5814.750865985485,0.22918759572700148
CatBoost,27312.145084291802,5926.107529370858,0.22664224755545267
